job_title,age,python_yn,R_yn,spark,aws,excel,min_salary,max_salary,avg_salary
Data Engineer,38,0,0,1,0,0,52,99,75.5
Senior Data Scientist,157,1,0,0,0,1,105,173,139
"Data Engineer, Data Engineering and Artifical Intelligence",239,1,0,1,1,1,71,134,102.5
Staff Scientist,91,0,0,0,0,0,39,82,60.5
PL Actuarial-Lead Data Scientist,168,1,0,0,0,1,114,179,146.5
"Associate Scientist/Scientist, Process Analytical Technology - Small Molecule Analytical Chemistry",44,0,0,0,0,1,88,162,125
Sr. Data Analyst,169,1,0,0,0,0,60,102,81
Senior Data & Machine Learning Scientist,5,1,0,0,1,0,100,166,133
Program/Data Analyst,24,0,0,0,0,1,55,99,77
Data Engineer,52,0,0,0,0,0,67,117,92
Senior Data Scientist: Causal & Predictive analytics AI Innovation Lab,24,0,0,0,0,0,92,150,121
"Principal Data Engineer, Data Platform & Insights",38,1,0,1,0,1,116,209,162.5
RESEARCH SCIENTIST - BIOLOGICAL SAFETY,73,0,0,0,0,0,38,82,60
Data Operations Lead,-1,1,0,0,0,1,85,90,87.5
Big Data Engineer,5,1,0,1,0,0,62,119,90.5
Data Scientist / Machine Learning Expert,24,1,0,0,0,0,86,143,114.5
Data Scientist,24,1,0,1,0,1,93,149,121
Senior Data Scientist,27,0,0,0,0,0,84,136,110
PV Scientist,-1,0,0,0,0,1,60,123,91.5
Clinical Data Analyst,52,0,0,0,0,0,52,89,70.5
Data Engineer,-1,0,0,0,0,1,48,93,70.5
Computational Chemist/Data Scientist,55,1,0,0,0,0,56,97,76.5
Data Engineer,169,1,0,1,0,1,65,119,92
Principal Data Scientist (Computational Chemistry),7,1,0,0,1,0,108,173,140.5
Product Engineer – Data Science,51,1,0,0,0,0,63,101,82
"Principal Scientist, Chemistry & Immunology",6,0,0,0,0,0,54,115,84.5
"Scientist/Senior Scientist, Autoimmune",7,0,0,0,0,0,90,179,134.5
Data Scientist,12,0,0,0,0,0,127,202,164.5
Market Data Analyst,29,0,0,0,0,0,31,57,44
Software Engineer - Data Visualization,18,0,0,0,0,1,60,127,93.5
Data Engineer,5,1,0,1,0,0,75,143,109
Staff Data Engineer,10,0,0,1,1,0,105,194,149.5
Associate Data Engineer,13,0,0,1,1,1,45,86,65.5
Senior Data Scientist,3,1,0,1,0,1,95,154,124.5
Staff BI and Data Engineer,22,1,0,1,0,0,80,148,114
Marketing Data Analyst,83,1,0,0,0,0,36,62,49
"Principal Scientist, Hematology",6,0,0,0,0,0,54,115,84.5
Data Analyst,31,0,0,0,0,1,50,92,71
"Director - Data, Privacy and AI Governance",169,0,0,0,0,0,67,135,101
Data Scientist,51,1,0,1,1,0,82,132,107
Data Scientist,46,1,0,0,0,1,85,140,112.5
Staff Machine Learning Engineer,13,1,0,1,0,0,138,224,181
Information Security Data Analyst,92,1,0,1,0,0,42,80,61
Lead Data Engineer,10,1,0,1,1,0,190,220,205
Scientist Manufacturing - Kentucky BioProcessing,145,0,0,0,0,0,68,139,103.5
Data Analytics Project Manager,169,0,0,0,0,1,34,92,63
Consultant - Analytics Consulting,39,0,0,0,0,1,54,71,62.5
Data Engineer,7,1,0,1,1,1,65,124,94.5
Marketing Data Analyst,34,0,0,0,0,1,35,62,48.5
Senior Scientist (Neuroscience),10,1,0,0,0,1,109,200,154.5
Medical Laboratory Scientist,43,0,0,0,1,0,18,25,21.5
Machine Learning Engineer - Regulatory,47,1,0,0,0,1,61,113,87
R&D Specialist/ Food Scientist,-1,0,0,0,0,0,39,66,52.5
Data Engineer,17,1,0,0,1,1,43,86,64.5
"Scientist, Bacteriology",-1,0,0,0,0,1,74,149,111.5
"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",239,0,0,1,1,1,113,196,154.5
Senior Research Scientist-Machine Learning,36,0,0,0,0,0,81,167,124
Senior Data Scientist,12,1,0,0,1,1,97,160,128.5
Clinical Laboratory Scientist,54,0,0,0,0,0,24,39,31.5
Analytics Manager - Data Mart,24,0,0,0,0,0,42,86,64
Sr. Data Engineer - Contract-to-Hire (Java),62,1,0,0,0,0,69,127,98
Data Scientist - Algorithms & Inference,10,0,0,0,0,0,110,175,142.5
Senior Data Scientist - R&D Oncology,107,1,0,0,0,0,102,172,137
Data Engineer,105,1,0,0,1,0,74,124,99
Food Scientist - Developer,56,0,0,0,0,0,40,68,54
Senior Data Scientist,36,1,0,0,0,0,108,171,139.5
Data Engineer,21,0,0,0,1,0,76,142,109
"Director II, Data Science - GRM Actuarial",108,1,0,0,0,0,202,306,254
"Scientist, Molecular/Cellular Biologist",8,0,0,0,0,0,49,97,73
Staff Scientist-Downstream Process Development,59,0,0,0,0,1,49,113,81
MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,85,0,0,0,0,0,21,34,27.5
Scientist - Analytical Services,145,0,0,0,0,1,65,134,99.5
Associate Data Analyst- Graduate Development Program,31,0,0,0,0,0,32,59,45.5
Sr. Data Engineer,24,1,0,1,1,0,87,158,122.5
Senior Insurance Data Scientist,52,1,0,0,0,1,107,173,140
Senior Data Science Systems Engineer,62,0,0,0,0,0,56,99,77.5
ENVIRONMENTAL ENGINEER/SCIENTIST,44,0,0,0,0,1,25,28,26.5
Senior Scientist - Regulatory Submissions,145,0,0,0,0,1,80,155,117.5
Scientist - Biomarker and Flow Cytometry,14,0,0,0,0,0,43,98,70.5
Revenue Analytics Manager,9,0,0,0,0,1,45,78,61.5
"Associate Scientist, LC/MS Biologics",5,0,0,0,0,1,44,96,70
Sr. Scientist Method Development,5,0,0,0,0,1,50,110,80
IT - Data Engineer II,32,0,0,1,0,1,61,119,90
"Research Scientist, Immunology - Cancer Biology",-1,0,0,0,0,1,100,140,120
"Project Scientist - Auton Lab, Robotics Institute",36,0,0,0,0,1,56,91,73.5
Data Scientist,36,1,0,0,0,1,68,114,91
Data Scientist,-1,0,0,0,1,1,150,160,155
"Enterprise Architect, Data",169,1,0,1,1,1,101,158,129.5
"Senior Manager, Epidemiologic Data Scientist",171,0,0,0,1,1,125,210,167.5
Corporate Risk Data Analyst (SQL Based) - Milwaukee or,150,0,0,0,1,1,43,77,60
Lead Data Scientist,11,1,0,0,0,1,139,221,180
"Marketing Data Analyst, May 2020 Undergrad",18,0,0,0,0,1,44,86,65
Senior Data Engineer,30,1,0,1,1,0,78,147,112.5
Senior Data Analyst,10,1,0,0,0,1,65,110,87.5
Data Modeler - Data Solutions Engineer,108,1,0,0,0,1,37,66,51.5
Associate Environmental Scientist - Wildlife Biologist,48,0,0,0,0,1,38,64,51
"Associate, Data Science, Internal Audit",164,1,0,0,0,1,43,82,62.5
Sr Data Engineer (Sr BI Developer),39,0,0,0,0,0,90,110,100
Data Engineer,16,1,0,1,1,0,61,109,85
Senior LiDAR Data Scientist,8,1,0,0,1,0,93,151,122
Salesforce Analytics Consultant,25,1,0,0,0,0,52,81,66.5
"Technology-Minded, Data Professional Opportunities",18,0,0,1,0,1,40,101,70.5
Senior Data Engineer,10,1,0,1,0,0,97,180,138.5
Managing Data Scientist/ML Engineer,77,0,0,1,0,1,81,134,107.5
"Scientist, Pharmacometrics",12,0,0,0,0,0,84,157,120.5
Staff Scientist- Upstream PD,59,0,0,0,0,0,49,113,81
Scientist Manufacturing Pharma - Kentucky BioProcessing,145,0,0,0,0,0,68,139,103.5
Sr. Data Engineer,15,0,0,0,0,0,75,140,107.5
Lead Big Data Engineer,13,1,0,1,1,1,121,203,162
Product Engineer – Spatial Data Science and Statistical Analysis,51,1,0,1,0,1,52,85,68.5
Sr Software Engineer (Data Scientist),42,0,0,0,0,1,81,140,110.5
College Hire - Data Scientist - Open to December 2019 Graduates,95,0,0,0,0,0,63,99,81
Senior Data Scientist,27,1,0,1,0,1,110,150,130
Sr. Data Engineer (ETL Developer),-1,1,0,0,0,1,83,148,115.5
Senior Data Scientist Artificial Intelligence,55,0,0,0,0,0,60,101,80.5
Analytics - Business Assurance Data Analyst,28,0,0,0,0,1,31,55,43
"Associate Director/Director, Safety Scientist",17,0,0,0,0,1,102,178,140
"Senior Scientist, Cell Pharmacology/Assay Development",-1,0,0,0,0,0,110,130,120
Data Analyst Senior,37,0,0,0,0,1,48,85,66.5
Lead Data Engineer (Python),14,1,0,0,1,0,66,123,94.5
Senior Data Scientist 4 Artificial Intelligence,55,0,0,0,0,0,92,146,119
Medical Lab Scientist - MLT,24,0,0,0,0,0,21,29,25
"Senior Operations Data Analyst, Call Center Operations",20,0,0,0,0,1,10,17,13.5
"Director II, Data Science - GRS Predictive Analytics",108,1,0,0,0,0,150,239,194.5
RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SOFTWARE DEVELOPMENT,73,1,0,0,1,1,52,91,71.5
Geospatial Software Developer and Data Scientist,-1,1,0,0,1,0,82,129,105.5
Senior Scientist - Toxicologist - Product Integrity (Stewardship),145,0,0,0,0,1,47,101,74
Systems Engineer II - Data Analyst,98,0,0,0,0,1,49,76,62.5
Senior Research Analytical Scientist-Non-Targeted Analysis,62,0,0,0,0,0,43,88,65.5
Director Data Science,31,1,0,0,1,1,124,199,161.5
Sr Data Analyst - IT,17,0,0,0,0,1,52,93,72.5
Senior Data Engineer,12,1,0,0,1,1,97,181,139
Senior Data Engineer,13,0,0,0,0,0,100,173,136.5
Associate Machine Learning Engineer / Data Scientist May 2020 Undergrad,18,1,0,1,0,0,53,96,74.5
Senior Scientist - Biostatistician,145,0,0,0,0,1,65,96,80.5
Data Scientist,150,1,0,0,0,1,56,95,75.5
Data Scientist,4,1,0,1,0,0,111,176,143.5
Data Scientist,6,1,0,0,0,0,75,127,101
Data Engineer,169,1,0,1,0,1,65,119,92
Computational Chemist/Data Scientist,55,1,0,0,0,0,56,97,76.5
Principal Data Scientist (Computational Chemistry),7,1,0,0,1,0,108,173,140.5
Data Scientist,208,0,0,0,0,1,94,139,116.5
Principal Machine Learning Scientist,21,1,0,0,0,0,176,289,232.5
Data Scientist,4,1,0,0,0,0,92,149,120.5
Product Engineer – Data Science,51,1,0,0,0,0,63,101,82
"Principal Scientist, Chemistry & Immunology",6,0,0,0,0,0,54,115,84.5
Data Scientist,13,1,0,1,1,0,118,188,153
Data Scientist,12,1,0,1,0,0,108,146,127
